name,marketHashName,BUFF,C5,HALOSKINS,YOUPIN
格洛克 18 型（StatTrak™） | 亡者之寝 (崭新出厂),StatTrak™ Glock-18 | Catacombs (Factory New),38709,22370,22370,1036
MAG-7（StatTrak™） | 炽热 (略有磨损),StatTrak™ MAG-7 | Heat (Minimal Wear),38988,22371,22371,46388
M4A1 消音型 | 翼蜥 (久经沙场),M4A1-S | Basilisk (Field-Tested),35166,22372,22372,43925
AUG | 力矩 (略有磨损),AUG | Torque (Minimal Wear),34056,22373,22373,1621
格洛克 18 型 | 钢铁禁锢 (久经沙场),Glock-18 | Steel Disruption (Field-Tested),35061,22374,22374,57356
SG 553 | 电子脉冲 (略有磨损),SG 553 | Pulse (Minimal Wear),36484,22375,22375,2407
MAC-10（StatTrak™） | 冉吉 (崭新出厂),StatTrak™ MAC-10 | Rangeen (Factory New),38957,22376,22376,825
Tec-9（StatTrak™） | 艾萨克 (战痕累累),StatTrak™ Tec-9 | Isaac (Battle-Scarred),39649,22377,22377,50462
内格夫（StatTrak™） | 大嘴巴 (久经沙场),StatTrak™ Negev | Loudmouth (Field-Tested),39133,22378,22378,43289
MP7 | 死亡骷髅 (久经沙场),MP7 | Skulls (Field-Tested),35610,22379,22379,49440
双持贝瑞塔 | 海斗士 (略有磨损),Dual Berettas | Marina (Minimal Wear),34552,22380,22380,44199
AK-47 | 翡翠细条纹 (战痕累累),AK-47 | Emerald Pinstripe (Battle-Scarred),33889,22381,22381,4594
SSG 08（StatTrak™） | 黑水 (略有磨损),StatTrak™ SSG 08 | Dark Water (Minimal Wear),39549,22382,22382,45095
M4A1 消音型 | 血虎 (久经沙场),M4A1-S | Blood Tiger (Field-Tested),35170,22383,22383,53565
格洛克 18 型 | 蓝色裂纹 (略有磨损),Glock-18 | Blue Fissure (Minimal Wear),34995,22384,22384,3530
USP 消音版（StatTrak™） | 力矩 (久经沙场),StatTrak™ USP-S | Torque (Field-Tested),39771,22385,22385,1482
沙漠之鹰 | 深红之网 (久经沙场),Desert Eagle | Crimson Web (Field-Tested),34408,22386,22386,1811
法玛斯 | 蓝巢 (略有磨损),FAMAS | Hexane (Minimal Wear),34648,22387,22387,55866
G3SG1（StatTrak™） | 碧蓝斑纹 (崭新出厂),StatTrak™ G3SG1 | Azure Zebra (Factory New),38604,22388,22388,1137
格洛克 18 型 | 核子反应 (战痕累累),Glock-18 | Reactor (Battle-Scarred),35045,22389,22389,55984
USP 消音版 | 凯门鳄 (崭新出厂),USP-S | Caiman (Factory New),42161,22390,22390,47862
CZ75 | 维多利亚 (久经沙场),CZ75-Auto | Victoria (Field-Tested),34355,22391,22391,5734
MAC-10（StatTrak™） | 孔雀石 (略有磨损),StatTrak™ MAC-10 | Malachite (Minimal Wear),38945,22392,22392,43815
法玛斯 | 灯神 (久经沙场),FAMAS | Djinn (Field-Tested),34641,22393,22393,3585
P2000 | 寻路者 (略有磨损),P2000 | Pathfinder (Minimal Wear),35960,22394,22394,56708
P250 | 翼击 (战痕累累),P250 | Wingshot (Battle-Scarred),36104,22395,22395,52809
MAG-7（StatTrak™） | 钴核 (崭新出厂),StatTrak™ MAG-7 | Cobalt Core (Factory New),38972,22396,22396,48387
法玛斯（StatTrak™） | 幸存者 Z (略有磨损),StatTrak™ FAMAS | Survivor Z (Minimal Wear),38540,22397,22397,43645
沙漠之鹰（StatTrak™） | 青铜装饰 (久经沙场),StatTrak™ Desert Eagle | Bronze Deco (Field-Tested),38399,22398,22398,2036
MP7 | 海之泡沫 (崭新出厂),MP7 | Ocean Foam (Factory New),35598,22399,22399,43648
UMP-45（StatTrak™） | 车王 (久经沙场),StatTrak™ UMP-45 | Grand Prix (Field-Tested),39691,22400,22400,5732
法玛斯 | 厄运之喵 (略有磨损),FAMAS | Doomkitty (Minimal Wear),34645,22401,22401,208
FN57 | 都市危机 (崭新出厂),Five-SeveN | Urban Hazard (Factory New),34797,22402,22402,2702
MAC-10 | 孔雀石 (崭新出厂),MAC-10 | Malachite (Factory New),35410,22403,22403,4438
MP7 | 星点 (崭新出厂),MP7 | Asterion (Factory New),35564,22404,22404,48043
SSG 08（StatTrak™） | 裂痕 (久经沙场),StatTrak™ SSG 08 | Slashed (Field-Tested),39570,22405,22405,2986
USP 消音版 | 绿色伞兵 (略有磨损),USP-S | Para Green (Minimal Wear),42213,22406,22406,46522
P250 | 超新星 (崭新出厂),P250 | Supernova (Factory New),36087,22407,22407,4427
Tec-9（StatTrak™） | 沙尘暴 (破损不堪),StatTrak™ Tec-9 | Sandstorm (Well-Worn),39666,22408,22408,53719
CZ75（StatTrak™） | 蓝巢 (久经沙场),StatTrak™ CZ75-Auto | Hexane (Field-Tested),38332,22409,22409,50219
法玛斯 | 中士 (久经沙场),FAMAS | Sergeant (Field-Tested),34675,22410,22410,44339
CZ75（StatTrak™） | 螺形扭转 (略有磨损),StatTrak™ CZ75-Auto | Twist (Minimal Wear),38380,22411,22411,49248
截短霰弹枪 | 竹影 (崭新出厂),Sawed-Off | Bamboo Shadow (Factory New),36594,22412,22412,48042
FN57 | 神祇 (崭新出厂),Five-SeveN | Kami (Factory New),34752,22413,22413,1196
格洛克 18 型 | 粉碎者 (略有磨损),Glock-18 | Grinder (Minimal Wear),35024,22414,22414,5714
格洛克 18 型（StatTrak™） | 亡者之寝 (略有磨损),StatTrak™ Glock-18 | Catacombs (Minimal Wear),38711,22415,22415,45715
USP 消音版 | 守护者 (略有磨损),USP-S | Guardian (Minimal Wear),42179,22416,22416,1418
P2000 | 手炮 (略有磨损),P2000 | Handgun (Minimal Wear),35936,22417,22417,14609
P2000 | 渐变琥珀 (略有磨损),P2000 | Amber Fade (Minimal Wear),35900,22418,22418,46450
Tec-9 | 黄铜 (久经沙场),Tec-9 | Brass (Field-Tested),41978,22419,22419,50832
CZ75 | 花纹钢板 (崭新出厂),CZ75-Auto | Tread Plate (Factory New),34340,22420,22420,49271
MAG-7（StatTrak™） | 灼烧之痕 (略有磨损),StatTrak™ MAG-7 | Firestarter (Minimal Wear),38979,22421,22421,50461
P2000 | 红色碎片迷彩 (崭新出厂),P2000 | Red FragCam (Factory New),35967,22422,22422,54400
FN57 | 银白石英 (崭新出厂),Five-SeveN | Silver Quartz (Factory New),34788,22423,22423,43305
AWP | 狩猎网格 (略有磨损),AWP | Safari Mesh (Minimal Wear),34131,22424,22424,540
Tec-9 | 蓝钛 (崭新出厂),Tec-9 | Blue Titanium (Factory New),41975,22425,22425,47450
双持贝瑞塔 | 天秤之月 (崭新出厂),Dual Berettas | Moon in Libra (Factory New),34555,22426,22426,48260
USP 消音版 | 宝蓝之色 (久经沙场),USP-S | Royal Blue (Field-Tested),42222,22427,22427,46212
加利尔 AR | 冷石 (略有磨损),Galil AR | Stone Cold (Minimal Wear),34960,22428,22428,1651
MAC-10 | 烧尽 (略有磨损),MAC-10 | Tatter (Minimal Wear),35442,22429,22429,48621
MAC-10 | 烧尽 (破损不堪),MAC-10 | Tatter (Well-Worn),35443,22430,22430,55405
P90 | 精英之作 (崭新出厂),P90 | Elite Build (Factory New),36143,22431,22431,1842
双持贝瑞塔 | 龙之双子 (崭新出厂),Dual Berettas | Dualing Dragons (Factory New),34537,22432,22432,46461
Tec-9 | 竹林 (崭新出厂),Tec-9 | Bamboo Forest (Factory New),41971,22433,22433,2002
AK-47 | 捕食者 (破损不堪),AK-47 | Predator (Well-Worn),33953,22434,22434,55734
格洛克 18 型 | 蓝色裂纹 (战痕累累),Glock-18 | Blue Fissure (Battle-Scarred),34992,22435,22435,56352
P90 | 深蓝组件 (崭新出厂),P90 | Module (Factory New),36172,22436,22436,45350
CZ75（StatTrak™） | 猛虎 (久经沙场),StatTrak™ CZ75-Auto | Tigris (Field-Tested),38371,22437,22437,44931
SCAR-20 | 深红之网 (战痕累累),SCAR-20 | Crimson Web (Battle-Scarred),36380,22438,22438,53609
MP9（StatTrak™） | 飞驰 (久经沙场),StatTrak™ MP9 | Dart (Field-Tested),39056,22439,22439,49681
FN57 | 夜影 (略有磨损),Five-SeveN | Nightshade (Minimal Wear),34767,22440,22440,48534
MAC-10 | 核子花园 (久经沙场),MAC-10 | Nuclear Garden (Field-Tested),35420,22441,22441,46163
P250（StatTrak™） | 元素轮廓 (略有磨损),StatTrak™ P250 | Valence (Minimal Wear),39297,22442,22442,769
AK-47 | 捕食者 (战痕累累),AK-47 | Predator (Battle-Scarred),33949,22443,22443,48486
CZ75 | 深红之网 (略有磨损),CZ75-Auto | Crimson Web (Minimal Wear),34284,22444,22444,1288
格洛克 18 型 | 粉碎者 (崭新出厂),Glock-18 | Grinder (Factory New),35022,22445,22445,987
MP7（StatTrak™） | 都市危机 (略有磨损),StatTrak™ MP7 | Urban Hazard (Minimal Wear),39042,22446,22446,689
P2000 | 渐变琥珀 (崭新出厂),P2000 | Amber Fade (Factory New),35898,22447,22447,2961
M4A1 消音型 | 多变迷彩 (崭新出厂),M4A1-S | VariCamo (Factory New),35248,22448,22448,46351
P250 | 翼击 (略有磨损),P250 | Wingshot (Minimal Wear),36107,22449,22449,43437
FN57 | 夜影 (崭新出厂),Five-SeveN | Nightshade (Factory New),34765,22450,22450,48515
M249（StatTrak™） | 系统锁定 (崭新出厂),StatTrak™ M249 | System Lock (Factory New),38776,22451,22451,47369
M4A4 | 杀意大名 (破损不堪),M4A4 | Evil Daimyo (Well-Worn),35288,22452,22452,56061
SCAR-20 | 深红之网 (破损不堪),SCAR-20 | Crimson Web (Well-Worn),36384,22453,22453,50636
法玛斯 | 神经网 (崭新出厂),FAMAS | Neural Net (Factory New),34661,22454,22454,46738
加利尔 AR（StatTrak™） | 沙尘暴 (略有磨损),StatTrak™ Galil AR | Sandstorm (Minimal Wear),38682,22455,22455,46914
SCAR-20（StatTrak™） | 蓝洞 (崭新出厂),StatTrak™ SCAR-20 | Grotto (Factory New),39474,22456,22456,47694
截短霰弹枪 | 路霸 (崭新出厂),Sawed-Off | Highwayman (Factory New),36621,22457,22457,45930
Tec-9 | 骨化之色 (崭新出厂),Tec-9 | Ossified (Factory New),42024,22458,22458,3742
USP 消音版 | 不锈钢 (久经沙场),USP-S | Stainless (Field-Tested),42230,22459,22459,405
M4A1 消音型 | 氮化处理 (战痕累累),M4A1-S | Nitro (Battle-Scarred),35242,22460,22460,49477
M249（StatTrak™） | 星云十字军 (战痕累累),StatTrak™ M249 | Nebula Crusader (Battle-Scarred),38765,22461,22461,50572
法玛斯（StatTrak™） | 中士 (久经沙场),StatTrak™ FAMAS | Sergeant (Field-Tested),38534,22462,22462,48910
法玛斯（StatTrak™） | 中士 (战痕累累),StatTrak™ FAMAS | Sergeant (Battle-Scarred),38533,22463,22463,52494
MP7 | 速递 (崭新出厂),MP7 | Special Delivery (Factory New),35613,22464,22464,50722
FN57 | 狩猎利器 (久经沙场),Five-SeveN | Fowl Play (Field-Tested),34734,22465,22465,44405
SG 553（StatTrak™） | 电子脉冲 (久经沙场),StatTrak™ SG 553 | Pulse (Field-Tested),39513,22466,22466,5716
