name,marketHashName,BUFF,C5,HALOSKINS,YOUPIN
印花 | olofmeister（闪亮）| 2016年科隆锦标赛,Sticker | olofmeister (Foil) | Cologne 2016,41729,4925769,4925769,58011
折叠刀（★ StatTrak™） | 噩梦之夜 (久经沙场),★ StatTrak™ Flip Knife | Night (Field-Tested),43547,4925771,4925771,60111
AWP（StatTrak™） | 精英之作 (略有磨损),StatTrak™ AWP | Elite Build (Minimal Wear),38296,5030487,5030487,52848
P250 | 二西莫夫 (破损不堪),P250 | Asiimov (Well-Worn),35987,5030489,5030489,46462
SCAR-20 | 棕榈色 (崭新出厂),SCAR-20 | Palm (Factory New),36413,5034988,5034988,59040
M4A4 | 死寂空间 (崭新出厂),M4A4 | Desolate Space (Factory New),35281,5094472,5094472,45346
G3SG1（StatTrak™） | 弗卢克斯 (破损不堪),StatTrak™ G3SG1 | Flux (Well-Worn),38616,5126374,5126374,49094
FN57 | 霸意大名 (破损不堪),Five-SeveN | Violent Daimyo (Well-Worn),34803,5131302,5131302,51845
截短霰弹枪（StatTrak™） | 聚光灯 (破损不堪),StatTrak™ Sawed-Off | Limelight (Well-Worn),39583,5366679,5366679,47120
P2000 | 至尊威龙 (战痕累累),P2000 | Imperial Dragon (Battle-Scarred),35941,5366680,5366680,44427
爪子刀（★） | 伽玛多普勒 (崭新出厂),★ Karambit | Gamma Doppler (Factory New),43011,5534979,5534979,43529
PP-野牛（StatTrak™） | 收割机 (战痕累累),StatTrak™ PP-Bizon | Harvester (Battle-Scarred),39389,5844289,5844289,47363
印花 | nitr0（闪亮）| 2016年科隆锦标赛,Sticker | nitr0 (Foil) | Cologne 2016,41718,5884700,5884700,53213
印花 | tarik（闪亮）| 2016年科隆锦标赛,Sticker | tarik (Foil) | Cologne 2016,41913,5884701,5884701,58181
印花 | Clan-Mystik（全息）| 2014年卡托维兹锦标赛,Sticker | Clan-Mystik (Holo) | Katowice 2014,39949,6120481,,100798
印花 | mousesports（全息）| 2014年卡托维兹锦标赛,Sticker | mousesports (Holo) | Katowice 2014,41677,6120483,,58344
印花 | compLexity Gaming（全息）| 2014年卡托维兹锦标赛,Sticker | compLexity Gaming (Holo) | Katowice 2014,41283,6120485,6120485,100834
MAC-10（StatTrak™） | 烧尽 (战痕累累),StatTrak™ MAC-10 | Tatter (Battle-Scarred),38961,6411045,6411045,61973
SSG 08（StatTrak™） | 幽灵战士 (战痕累累),StatTrak™ SSG 08 | Ghost Crusader (Battle-Scarred),39559,6411046,6411046,47646
P2000 | 至尊威龙 (略有磨损),P2000 | Imperial Dragon (Minimal Wear),35944,6411047,6411047,2588
AWP（StatTrak™） | 火卫一 (略有磨损),StatTrak™ AWP | Phobos (Minimal Wear),38318,6411048,6411048,47038
截短霰弹枪（StatTrak™） | 祥和之翼 (破损不堪),StatTrak™ Sawed-Off | Serenity (Well-Worn),39602,6411049,6411049,56905
SG 553（StatTrak™） | 轻空 (略有磨损),StatTrak™ SG 553 | Aerial (Minimal Wear),39496,6411050,6411050,43780
R8 左轮手枪（StatTrak™） | 重新启动 (久经沙场),StatTrak™ R8 Revolver | Reboot (Field-Tested),39440,6411051,6411051,45708
新星（StatTrak™） | Exo (战痕累累),StatTrak™ Nova | Exo (Battle-Scarred),39154,6430056,6430056,53743
AWP | 火卫一 (破损不堪),AWP | Phobos (Well-Worn),34115,6430057,6430057,49600
SCAR-20（StatTrak™） | 血腥运动 (略有磨损),StatTrak™ SCAR-20 | Bloodsport (Minimal Wear),39446,6430058,6430058,49841
R8 左轮手枪（StatTrak™） | 重新启动 (战痕累累),StatTrak™ R8 Revolver | Reboot (Battle-Scarred),39438,6430059,6430059,982
SG 553 | 轻空 (战痕累累),SG 553 | Aerial (Battle-Scarred),36437,6525080,6525080,49602
亲笔签名胶囊 | OpTic Gaming | 2016年科隆锦标赛,Autograph Capsule | OpTic Gaming | Cologne 2016,34215,6935984,6935984,62254
SSG 08（StatTrak™） | 幽灵战士 (略有磨损),StatTrak™ SSG 08 | Ghost Crusader (Minimal Wear),39562,6936144,6936144,2118
印花 | TENZKI（闪亮）| 2016年科隆锦标赛,Sticker | TENZKI (Foil) | Cologne 2016,40874,7023266,7023266,58064
R8 左轮手枪 | 重新启动 (战痕累累),R8 Revolver | Reboot (Battle-Scarred),36349,7114640,7114640,43568
R8 左轮手枪（StatTrak™） | 重新启动 (崭新出厂),StatTrak™ R8 Revolver | Reboot (Factory New),39439,7165231,7165231,49080
AUG（StatTrak™） | 贵族 (战痕累累),StatTrak™ AUG | Aristocrat (Battle-Scarred),38238,7296279,7296279,47040
P90（StatTrak™） | 夺命器 (战痕累累),StatTrak™ P90 | Chopper (Battle-Scarred),39314,7296288,7296288,50352
MAC-10（StatTrak™） | 不可磨灭 (战痕累累),StatTrak™ MAC-10 | Graven (Battle-Scarred),38923,7296289,7296289,55879
截短霰弹枪（StatTrak™） | 聚光灯 (久经沙场),StatTrak™ Sawed-Off | Limelight (Field-Tested),39581,7296291,7296291,3884
P250（StatTrak™） | 二西莫夫 (战痕累累),StatTrak™ P250 | Asiimov (Battle-Scarred),39240,7455672,7455672,45983
XM1014（StatTrak™） | 西装革履 (崭新出厂),StatTrak™ XM1014 | Black Tie (Factory New),39775,7455675,7455675,46277
P90（StatTrak™） | 夺命器 (崭新出厂),StatTrak™ P90 | Chopper (Factory New),39315,7802730,7802730,43742
SG 553（StatTrak™） | 轻空 (崭新出厂),StatTrak™ SG 553 | Aerial (Factory New),39494,7802731,7802731,1624
FN57（StatTrak™） | 霸意大名 (崭新出厂),StatTrak™ Five-SeveN | Violent Daimyo (Factory New),38600,7802733,7802733,43571
新星（StatTrak™） | Exo (破损不堪),StatTrak™ Nova | Exo (Well-Worn),39158,7813736,7813736,44752
鲍伊猎刀（★） | 屠夫 (崭新出厂),★ Bowie Knife | Slaughter (Factory New),42512,7848023,7848023,52887
截短霰弹枪（StatTrak™） | 聚光灯 (崭新出厂),StatTrak™ Sawed-Off | Limelight (Factory New),39580,7893147,7893147,46097
鲍伊猎刀（★） | 噩梦之夜 (略有磨损),★ Bowie Knife | Night (Minimal Wear),42499,7932635,7932635,53648
截短霰弹枪 | 破铜烂铁 (破损不堪),Sawed-Off | Fubar (Well-Worn),36614,7978699,7978699,1292
暗影双匕（★） | 森林 DDPAT (破损不堪),★ Shadow Daggers | Forest DDPAT (Well-Worn),43194,8025112,8025112,60685
蝴蝶刀（★ StatTrak™） | 森林 DDPAT (破损不堪),★ StatTrak™ Butterfly Knife | Forest DDPAT (Well-Worn),43417,8307768,8307768,58230
M4A1 消音型 | 女火神之炽焰 (战痕累累),M4A1-S | Chantico's Fire (Battle-Scarred),35184,8307770,8307770,45153
鲍伊猎刀（★ StatTrak™） | 枯焦之色 (久经沙场),★ StatTrak™ Bowie Knife | Scorched (Field-Tested),43369,8307772,8307772,59842
SSG 08 | 热带风暴 (崭新出厂),SSG 08 | Tropical Storm (Factory New),36585,8307773,8307773,56975
弯刀（★） | 森林 DDPAT (崭新出厂),★ Falchion Knife | Forest DDPAT (Factory New),42641,8307774,8307774,59931
鲍伊猎刀（★ StatTrak™） | 都市伪装 (久经沙场),★ StatTrak™ Bowie Knife | Urban Masked (Field-Tested),43386,8307775,8307775,59832
暗影双匕（★ StatTrak™） | 表面淬火 (崭新出厂),★ StatTrak™ Shadow Daggers | Case Hardened (Factory New),758580,8307776,8307776,109444
暗影双匕（★） | 森林 DDPAT (略有磨损),★ Shadow Daggers | Forest DDPAT (Minimal Wear),43193,8307777,8307777,60684
爪子刀（★） | 枯焦之色 (略有磨损),★ Karambit | Scorched (Minimal Wear),43031,8307779,8307779,52293
猎杀者匕首（★ StatTrak™） | 屠夫 (崭新出厂),★ StatTrak™ Huntsman Knife | Slaughter (Factory New),43688,8307781,8307781,60356
格洛克 18 型 | 荒野反叛 (久经沙场),Glock-18 | Wasteland Rebel (Field-Tested),35068,8396688,8396688,905
SG 553（StatTrak™） | 擎天神 (破损不堪),StatTrak™ SG 553 | Atlas (Well-Worn),39502,8665115,8665115,50284
PP-野牛（纪念品） | 辐照警报 (崭新出厂),Souvenir PP-Bizon | Irradiated Alert (Factory New),43910,8745459,8745459,55670
Tec-9（纪念品） | 黄铜 (崭新出厂),Souvenir Tec-9 | Brass (Factory New),38052,8745462,8745462,57622
AK-47（StatTrak™） | 燃料喷射器 (破损不堪),StatTrak™ AK-47 | Fuel Injector (Well-Worn),38193,8814274,8814274,48070
P90（StatTrak™） | 夺命器 (略有磨损),StatTrak™ P90 | Chopper (Minimal Wear),39317,8841547,8841547,2158
AWP（纪念品） | 巨龙传说 (久经沙场),Souvenir AWP | Dragon Lore (Field-Tested),44946,9225280,9225280,55327
新星（StatTrak™） | 暴怒野兽 (崭新出厂),StatTrak™ Nova | Hyper Beast (Factory New),39169,9225282,9225282,54611
SCAR-20（StatTrak™） | 血腥运动 (崭新出厂),StatTrak™ SCAR-20 | Bloodsport (Factory New),39444,9225284,9225284,2576
加利尔 AR（纪念品） | 地狱看门犬 (崭新出厂),Souvenir Galil AR | Cerberus (Factory New),37664,9225286,9225286,53554
M4A1 消音型（纪念品） | 神来之作 (略有磨损),Souvenir M4A1-S | Master Piece (Minimal Wear),37718,9225287,9225287,48356
AWP（纪念品） | 巨龙传说 (崭新出厂),Souvenir AWP | Dragon Lore (Factory New),45462,9225288,,59090
AK-47（纪念品） | 狩猎网格 (崭新出厂),Souvenir AK-47 | Safari Mesh (Factory New),37514,9225289,9225289,57792
M9 刺刀（★ StatTrak™） | 黑色层压板 (崭新出厂),★ StatTrak™ M9 Bayonet | Black Laminate (Factory New),770631,9225290,9225290,60430
PP-野牛（StatTrak™） | 阿努比斯之审判 (略有磨损),StatTrak™ PP-Bizon | Judgement of Anubis (Minimal Wear),39402,9225291,9225291,45761
蝴蝶刀（★ StatTrak™） | 深红之网 (崭新出厂),★ StatTrak™ Butterfly Knife | Crimson Web (Factory New),758867,9225292,,103498
MP9（StatTrak™） | 生化泄漏 (略有磨损),StatTrak™ MP9 | Bioleak (Minimal Wear),39052,9351752,9351752,44389
M4A1 消音型（StatTrak™） | 守护者 (战痕累累),StatTrak™ M4A1-S | Guardian (Battle-Scarred),38824,9641760,9641760,59212
AUG（StatTrak™） | 燕群 (崭新出厂),StatTrak™ AUG | Fleet Flock (Factory New),38254,9733452,9733452,50592
P90（StatTrak™） | 翡翠之龙 (久经沙场),StatTrak™ P90 | Emerald Dragon (Field-Tested),39340,9931995,9931995,57276
Tec-9（纪念品） | 晶红石英 (略有磨损),Souvenir Tec-9 | Red Quartz (Minimal Wear),38066,10203842,10203842,51516
蝴蝶刀（★） | 都市伪装 (破损不堪),★ Butterfly Knife | Urban Masked (Well-Worn),42596,10454665,10454665,50046
蝴蝶刀（★ StatTrak™） | 都市伪装 (久经沙场),★ StatTrak™ Butterfly Knife | Urban Masked (Field-Tested),43440,10454667,10454667,48961
暗影双匕（★ StatTrak™） | 表面淬火 (破损不堪),★ StatTrak™ Shadow Daggers | Case Hardened (Well-Worn),43860,10454669,10454669,60762
刺刀（★ StatTrak™） | 森林 DDPAT (战痕累累),★ StatTrak™ Bayonet | Forest DDPAT (Battle-Scarred),43295,10454670,10454670,60560
暗影双匕（★ StatTrak™） | 噩梦之夜 (战痕累累),★ StatTrak™ Shadow Daggers | Night (Battle-Scarred),44462,10454671,10454671,104353
刺刀（★ StatTrak™） | 枯焦之色 (久经沙场),★ StatTrak™ Bayonet | Scorched (Field-Tested),43318,10454672,10454672,57861
蝴蝶刀（★ StatTrak™） | 北方森林 (久经沙场),★ StatTrak™ Butterfly Knife | Boreal Forest (Field-Tested),43396,10454673,10454673,53060
穿肠刀（★ StatTrak™） | 表面淬火 (略有磨损),★ StatTrak™ Gut Knife | Case Hardened (Minimal Wear),43597,10454674,10454674,60201
刺刀（★ StatTrak™） | 屠夫 (久经沙场),★ StatTrak™ Bayonet | Slaughter (Field-Tested),43321,10454675,10454675,60522
MAC-10（StatTrak™） | 不可磨灭 (破损不堪),StatTrak™ MAC-10 | Graven (Well-Worn),38927,10454676,10454676,54906
M9 刺刀（★） | 外表生锈 (破损不堪),★ M9 Bayonet | Rust Coat (Well-Worn),43118,10454677,10454677,51741
穿肠刀（★ StatTrak™） | 蓝钢 (破损不堪),★ StatTrak™ Gut Knife | Blue Steel (Well-Worn),43589,10454678,10454678,60216
CZ75（StatTrak™） | 维多利亚 (战痕累累),StatTrak™ CZ75-Auto | Victoria (Battle-Scarred),38382,10454679,10454679,56789
猎杀者匕首（★ StatTrak™） | 枯焦之色 (战痕累累),★ StatTrak™ Huntsman Knife | Scorched (Battle-Scarred),43684,10454680,10454680,104375
弯刀（★ StatTrak™） | 蓝钢 (破损不堪),★ StatTrak™ Falchion Knife | Blue Steel (Well-Worn),43447,10454681,10454681,59998
穿肠刀（★ StatTrak™） | 狩猎网格 (战痕累累),★ StatTrak™ Gut Knife | Safari Mesh (Battle-Scarred),43979,10454682,10454682,60212
鲍伊猎刀（★ StatTrak™） | 北方森林 (久经沙场),★ StatTrak™ Bowie Knife | Boreal Forest (Field-Tested),43338,10454684,10454684,57980
暗影双匕（★ StatTrak™） | 狩猎网格 (战痕累累),★ StatTrak™ Shadow Daggers | Safari Mesh (Battle-Scarred),43878,10454686,10454686,57763
弯刀（★ StatTrak™） | 噩梦之夜 (战痕累累),★ StatTrak™ Falchion Knife | Night (Battle-Scarred),43471,10454688,10454688,60005
蝴蝶刀（★） | 人工染色 (崭新出厂),★ Butterfly Knife | Stained (Factory New),42583,10454690,10454690,48853
穿肠刀（★ StatTrak™） | 人工染色 (战痕累累),★ StatTrak™ Gut Knife | Stained (Battle-Scarred),43638,10454692,10454692,103439
SSG 08（StatTrak™） | 幽灵战士 (崭新出厂),StatTrak™ SSG 08 | Ghost Crusader (Factory New),39560,10454694,10454694,54385
M9 刺刀（★ StatTrak™） | 北方森林 (久经沙场),★ StatTrak™ M9 Bayonet | Boreal Forest (Field-Tested),44013,10454706,10454706,56279
穿肠刀（★ StatTrak™） | 大马士革钢 (久经沙场),★ StatTrak™ Gut Knife | Damascus Steel (Field-Tested),43605,10454708,10454708,60224
折叠刀（★ StatTrak™） | 表面淬火 (战痕累累),★ StatTrak™ Flip Knife | Case Hardened (Battle-Scarred),43516,10454710,10454710,60105
M4A4（StatTrak™） | 弹雨 (破损不堪),StatTrak™ M4A4 | Bullet Rain (Well-Worn),38850,10454712,10454712,58468
Tec-9 | 核子威慑 (破损不堪),Tec-9 | Nuclear Threat (Well-Worn),42023,10454723,10454723,57479
M9 刺刀（★ StatTrak™） | 北方森林 (破损不堪),★ StatTrak™ M9 Bayonet | Boreal Forest (Well-Worn),756445,10454724,10454724,60428
UMP-45（StatTrak™） | 野蛮剑齿虎 (略有磨损),StatTrak™ UMP-45 | Primal Saber (Minimal Wear),39704,10454725,10454725,53008
SCAR-20 | 翡翠色调 (略有磨损),SCAR-20 | Emerald (Minimal Wear),36391,10454726,10454726,103382
折叠刀（★ StatTrak™） | 深红之网 (破损不堪),★ StatTrak™ Flip Knife | Crimson Web (Well-Worn),45573,10454727,10454727,60087
猎杀者匕首（★ StatTrak™） | 北方森林 (战痕累累),★ StatTrak™ Huntsman Knife | Boreal Forest (Battle-Scarred),43653,10454728,10454728,104326
鲍伊猎刀（★） | 枯焦之色 (略有磨损),★ Bowie Knife | Scorched (Minimal Wear),42510,10454729,10454729,55650
猎杀者匕首（★ StatTrak™） | 表面淬火 (久经沙场),★ StatTrak™ Huntsman Knife | Case Hardened (Field-Tested),43658,10454730,10454730,104381
爪子刀（★） | 虎牙 (略有磨损),★ Karambit | Tiger Tooth (Minimal Wear),43042,10454731,10454731,56757
M9 刺刀（★ StatTrak™） | 深红之网 (破损不堪),★ StatTrak™ M9 Bayonet | Crimson Web (Well-Worn),43797,10454732,10454732,60392
刺刀（★ StatTrak™） | 蓝钢 (崭新出厂),★ StatTrak™ Bayonet | Blue Steel (Factory New),656178,10454733,,103379
暗影双匕（★ StatTrak™） | 蓝钢 (破损不堪),★ StatTrak™ Shadow Daggers | Blue Steel (Well-Worn),43852,10454734,10454734,60744
穿肠刀（★ StatTrak™） | 狩猎网格 (久经沙场),★ StatTrak™ Gut Knife | Safari Mesh (Field-Tested),43628,10454735,10454735,60210
暗影双匕（★ StatTrak™） | 屠夫 (崭新出厂),★ StatTrak™ Shadow Daggers | Slaughter (Factory New),43885,10454736,10454736,60718
刺刀（★ StatTrak™） | 北方森林 (战痕累累),★ StatTrak™ Bayonet | Boreal Forest (Battle-Scarred),43276,10454737,10454737,60538
折叠刀（★ StatTrak™） | 致命紫罗兰 (战痕累累),★ StatTrak™ Flip Knife | Ultraviolet (Battle-Scarred),43567,10454738,10454738,60037
蝴蝶刀（★ StatTrak™） | 人工染色 (略有磨损),★ StatTrak™ Butterfly Knife | Stained (Minimal Wear),43433,10454739,10454739,59903
蝴蝶刀（★ StatTrak™） | 狩猎网格 (战痕累累),★ StatTrak™ Butterfly Knife | Safari Mesh (Battle-Scarred),43424,10454740,10454740,48455
爪子刀（★ StatTrak™） | 致命紫罗兰 (略有磨损),★ StatTrak™ Karambit | Ultraviolet (Minimal Wear),43769,10454741,10454741,60591
弯刀（★ StatTrak™） | 表面淬火 (破损不堪),★ StatTrak™ Falchion Knife | Case Hardened (Well-Worn),43456,10454742,10454742,54928
M9 刺刀（★） | 都市伪装 (破损不堪),★ M9 Bayonet | Urban Masked (Well-Worn),43145,10454743,10454743,56579
猎杀者匕首（★ StatTrak™） | 深红之网 (战痕累累),★ StatTrak™ Huntsman Knife | Crimson Web (Battle-Scarred),43661,10454744,10454744,104350
刺刀（★ StatTrak™） | 蓝钢 (破损不堪),★ StatTrak™ Bayonet | Blue Steel (Well-Worn),43275,10454745,10454745,60529
穿肠刀（★ StatTrak™） | 人工染色 (破损不堪),★ StatTrak™ Gut Knife | Stained (Well-Worn),43642,10454746,10454746,58186
折叠刀（★ StatTrak™） | 蓝钢 (久经沙场),★ StatTrak™ Flip Knife | Blue Steel (Field-Tested),43506,10454747,10454747,57900
弯刀（★ StatTrak™） | 深红之网 (战痕累累),★ StatTrak™ Falchion Knife | Crimson Web (Battle-Scarred),43457,10454748,10454748,59983
弯刀（★ StatTrak™） | 狩猎网格 (战痕累累),★ StatTrak™ Falchion Knife | Safari Mesh (Battle-Scarred),43475,10454749,10454749,59970
鲍伊猎刀（★） | 森林 DDPAT (战痕累累),★ Bowie Knife | Forest DDPAT (Battle-Scarred),42490,10454768,10454768,46015
暗影双匕（★ StatTrak™） | 人工染色 (久经沙场),★ StatTrak™ Shadow Daggers | Stained (Field-Tested),43889,10454770,10454770,60733
暗影双匕（★ StatTrak™） | 蓝钢 (略有磨损),★ StatTrak™ Shadow Daggers | Blue Steel (Minimal Wear),43851,10454771,10454771,60742
沙漠之鹰（StatTrak™） | 大佬龙 (略有磨损),StatTrak™ Desert Eagle | Kumicho Dragon (Minimal Wear),38434,10454772,10454772,45614
内格夫（纪念品） | 加州迷彩 (战痕累累),Souvenir Negev | CaliCamo (Battle-Scarred),37827,10512492,10512492,52474
M4A1 消音型（StatTrak™） | 女火神之炽焰 (破损不堪),StatTrak™ M4A1-S | Chantico's Fire (Well-Worn),38803,10664138,10664138,56888
Tec-9（StatTrak™） | 冰冠 (破损不堪),StatTrak™ Tec-9 | Ice Cap (Well-Worn),39648,10705392,10705392,55411
P250（StatTrak™） | 铠甲 (破损不堪),StatTrak™ P250 | Iron Clad (Well-Worn),39256,10707242,10707242,49386
格洛克 18 型 | 荒野反叛 (崭新出厂),Glock-18 | Wasteland Rebel (Factory New),35067,10908373,10908373,667
印花 | iBUYPOWER（全息）| 2014年卡托维兹锦标赛,Sticker | iBUYPOWER (Holo) | Katowice 2014,45459,10931612,10931612,100963
弯刀（★） | 枯焦之色 (崭新出厂),★ Falchion Knife | Scorched (Factory New),42658,10931821,10931821,57680
M4A4 | 皇家圣骑士 (破损不堪),M4A4 | Royal Paladin (Well-Worn),35329,10931822,10931822,57287
印花 | hazed | 2016年科隆锦标赛,Sticker | hazed | Cologne 2016,41489,11255253,11255253,100765
印花 | FaZe Clan（闪亮）| 2016年科隆锦标赛,Sticker | FaZe Clan (Foil) | Cologne 2016,40099,11351066,11351066,54258
格洛克 18 型 | 荒野反叛 (略有磨损),Glock-18 | Wasteland Rebel (Minimal Wear),35069,11513296,11513296,2415
AUG | 殖民侵略者 (崭新出厂),AUG | Colony (Factory New),34006,11666838,11666838,59323
R8 左轮手枪（StatTrak™） | 重新启动 (略有磨损),StatTrak™ R8 Revolver | Reboot (Minimal Wear),39441,11666839,11666839,4369
SSG 08（StatTrak™） | 水中之血 (久经沙场),StatTrak™ SSG 08 | Blood in the Water (Field-Tested),39546,11666840,11666840,59286
截短霰弹枪（StatTrak™） | 聚光灯 (战痕累累),StatTrak™ Sawed-Off | Limelight (Battle-Scarred),39579,11666841,11666841,50361
新星（StatTrak™） | 惊惧骷髅 (破损不堪),StatTrak™ Nova | Rising Skull (Well-Worn),39184,11732588,11732588,58383
AK-47 | 至高皮革 (破损不堪),AK-47 | First Class (Well-Worn),33903,11732589,11732589,55379
P90 | 夺命器 (破损不堪),P90 | Chopper (Well-Worn),36127,11732591,11732591,46161
Tec-9（StatTrak™） | 战火重燃 (破损不堪),StatTrak™ Tec-9 | Re-Entry (Well-Worn),39662,11732593,11732593,55160
SCAR-20 | 血腥运动 (略有磨损),SCAR-20 | Bloodsport (Minimal Wear),36361,11732595,11732595,468
亲笔签名胶囊 | Natus Vincere | 2016年科隆锦标赛,Autograph Capsule | Natus Vincere | Cologne 2016,34207,11787084,11787084,56601
印花 | GeT_RiGhT（闪亮）| 2016年科隆锦标赛,Sticker | GeT_RiGhT (Foil) | Cologne 2016,40234,11787085,11787085,57459
亲笔签名胶囊 | mousesports | 2016年科隆锦标赛,Autograph Capsule | mousesports | Cologne 2016,34247,11787087,11787087,62249
印花 | Xyp9x | 2016年科隆锦标赛,Sticker | Xyp9x | Cologne 2016,41102,12142205,12142205,47549
M4A4（StatTrak™） | 死寂空间 (久经沙场),StatTrak™ M4A4 | Desolate Space (Field-Tested),38863,12660748,12660748,2141
印花 | B1ad3 | 2016年科隆锦标赛,Sticker | B1ad3 | Cologne 2016,39891,12680857,12680857,53811
印花 | markeloff | 2016年科隆锦标赛,Sticker | markeloff | Cologne 2016,41642,12680858,12680858,100895
印花 | 鸽圣,Sticker | Pigeon Master,40667,12785669,12785669,48085
刺刀（★ StatTrak™） | 狩猎网格 (略有磨损),★ StatTrak™ Bayonet | Safari Mesh (Minimal Wear),43316,13043667,13043667,60506
PP-野牛（StatTrak™） | 收割机 (久经沙场),StatTrak™ PP-Bizon | Harvester (Field-Tested),39391,13094106,13094106,47036
加利尔 AR（纪念品） | 贤者涂装 (略有磨损),Souvenir Galil AR | Sage Spray (Minimal Wear),37676,13618130,13618130,49326
折叠刀（★ StatTrak™） | 大马士革钢 (久经沙场),★ StatTrak™ Flip Knife | Damascus Steel (Field-Tested),43525,13631414,13631414,60063
爪子刀（★ StatTrak™） | 北方森林 (略有磨损),★ StatTrak™ Karambit | Boreal Forest (Minimal Wear),43715,13631415,13631415,60636
刺刀（★ StatTrak™） | 都市伪装 (战痕累累),★ StatTrak™ Bayonet | Urban Masked (Battle-Scarred),45026,13631416,13631416,60499
MAC-10（StatTrak™） | 捕猎者 (破损不堪),StatTrak™ MAC-10 | Carnivore (Well-Worn),38917,14440860,14440860,45068
FN57（StatTrak™） | 霸意大名 (战痕累累),StatTrak™ Five-SeveN | Violent Daimyo (Battle-Scarred),38599,14440867,14440867,50533
M4A1 消音型 | 机械工业 (战痕累累),M4A1-S | Mecha Industries (Battle-Scarred),35237,14485291,14485291,49389
截短霰弹枪（StatTrak™） | 聚光灯 (略有磨损),StatTrak™ Sawed-Off | Limelight (Minimal Wear),39582,14485292,14485292,50223
M4A4（StatTrak™） | 死寂空间 (破损不堪),StatTrak™ M4A4 | Desolate Space (Well-Worn),38865,14485293,14485293,53175
印花 | kioShiMa | 2016年科隆锦标赛,Sticker | kioShiMa | Cologne 2016,41620,14620090,14620090,100937
猎杀者匕首（★ StatTrak™） | 深红之网 (久经沙场),★ StatTrak™ Huntsman Knife | Crimson Web (Field-Tested),43662,15072981,15072981,60366
新星（StatTrak™） | 暴怒野兽 (久经沙场),StatTrak™ Nova | Hyper Beast (Field-Tested),39170,16299597,16299597,51872
PP-野牛（纪念品） | 沙漠虚线 (破损不堪),Souvenir PP-Bizon | Sand Dashed (Well-Worn),37960,16862947,16862947,58936
P90（纪念品） | 摧枯拉朽 (久经沙场),Souvenir P90 | Teardown (Field-Tested),37934,16970840,16970840,61963
鲍伊猎刀（★ StatTrak™） | 枯焦之色 (破损不堪),★ StatTrak™ Bowie Knife | Scorched (Well-Worn),43371,17500553,17500553,103449
暗影双匕（★ StatTrak™） | 枯焦之色 (略有磨损),★ StatTrak™ Shadow Daggers | Scorched (Minimal Wear),43883,17500554,17500554,103474
加利尔 AR（纪念品） | 贤者涂装 (战痕累累),Souvenir Galil AR | Sage Spray (Battle-Scarred),37673,17620933,17620933,58249
AUG | 贵族 (崭新出厂),AUG | Aristocrat (Factory New),33991,17984067,17984067,1641
截短霰弹枪 | 外表生锈 (破损不堪),Sawed-Off | Rust Coat (Well-Worn),36659,18197488,18197488,58663
双持贝瑞塔 | 通风机 (破损不堪),Dual Berettas | Ventilators (Well-Worn),34585,18290026,18290026,47280
P90 | 夺命器 (战痕累累),P90 | Chopper (Battle-Scarred),36123,18555932,18555932,370
折叠刀（★ StatTrak™） | 蓝钢 (崭新出厂),★ StatTrak™ Flip Knife | Blue Steel (Factory New),43505,18717356,18717356,58012
印花 | jdm64 | 2016年 MLG 哥伦布锦标赛,Sticker | jdm64 | MLG Columbus 2016,41530,18717357,18717357,58399
印花 | EliGE（闪亮）| 2016年科隆锦标赛,Sticker | EliGE (Foil) | Cologne 2016,40078,18954366,18954366,56935
折叠刀（★） | 澄澈之水 (略有磨损),★ Flip Knife | Bright Water (Minimal Wear),42704,19164522,19164522,50009
M9 刺刀（★ StatTrak™） | 大马士革钢 (崭新出厂),★ StatTrak™ M9 Bayonet | Damascus Steel (Factory New),43799,19675286,19675286,58097
刺刀（★） | 渐变大理石 (略有磨损),★ Bayonet | Marble Fade (Minimal Wear),42410,19675288,19675288,51827
爪子刀（★） | 枯焦之色 (崭新出厂),★ Karambit | Scorched (Factory New),755926,19675290,19675290,58460
SSG 08（StatTrak™） | 巨铁 (破损不堪),StatTrak™ SSG 08 | Big Iron (Well-Worn),39544,19774475,19774475,59284
PP-野牛（StatTrak™） | 收割机 (崭新出厂),StatTrak™ PP-Bizon | Harvester (Factory New),39390,19774476,19774476,55618
P250（StatTrak™） | 铠甲 (崭新出厂),StatTrak™ P250 | Iron Clad (Factory New),39253,20411498,20411498,50925
Tec-9（StatTrak™） | 冰冠 (战痕累累),StatTrak™ Tec-9 | Ice Cap (Battle-Scarred),39644,20900626,20900626,52779
AWP（StatTrak™） | 电子蜂巢 (破损不堪),StatTrak™ AWP | Electric Hive (Well-Worn),38292,21403656,21403656,51836
P90 | 病毒危机 (崭新出厂),P90 | Virus (Factory New),36210,21917209,21917209,52422
AWP（StatTrak™） | 精英之作 (破损不堪),StatTrak™ AWP | Elite Build (Well-Worn),38297,22232890,22232890,46534
鲍伊猎刀（★ StatTrak™） | 屠夫 (崭新出厂),★ StatTrak™ Bowie Knife | Slaughter (Factory New),43372,23433887,23433887,59825
M9 刺刀（★ StatTrak™） | 表面淬火 (崭新出厂),★ StatTrak™ M9 Bayonet | Case Hardened (Factory New),45133,23433888,23433888,60459
MAC-10（StatTrak™） | 捕猎者 (崭新出厂),StatTrak™ MAC-10 | Carnivore (Factory New),38914,24024993,24024993,55512
