timestamp,open_price,high_price,low_price,close_price,volume,turnover
1687273204,1097.89,1108.58,1094.25,1094.57,0,0.0
1687359600,1094.57,1105.22,1093.61,1096.23,0,0.0
1687446000,1096.23,1111.48,1089.1,1089.1,0,0.0
1687532400,1089.1,1102.77,1078.16,1083.43,0,0.0
1687618801,1083.43,1102.07,1072.76,1076.18,0,0.0
1687705200,1076.18,1096.78,1072.09,1080.34,0,0.0
1687791600,1080.34,1087.54,1064.21,1081.74,0,0.0
1687878000,1081.74,1079.7,1060.27,1060.93,0,0.0
1687964400,1060.93,1072.38,1048.23,1064.85,0,0.0
1688050800,1064.85,1061.74,1041.84,1060.22,0,0.0
1688137200,1060.22,1057.54,1031.34,1042.1,0,0.0
1688223600,1042.1,1048.18,1030.45,1042.04,0,0.0
1688310000,1042.04,1054.44,1032.06,1043.59,0,0.0
1688396401,1043.59,1060.88,1043.6,1047.86,0,0.0
1688482802,1047.86,1064.22,1044.87,1054.78,0,0.0
1688569202,1054.78,1066.82,1051.38,1062.88,0,0.0
1688655602,1062.88,1066.62,1047.38,1050.43,0,0.0
1688742000,1050.43,1065.59,1044.71,1052.99,0,0.0
1688828418,1052.99,1067.55,1044.61,1044.61,0,0.0
1688914803,1044.61,1085.76,1030.08,1055.15,0,0.0
1689001203,1055.15,1060.06,1032.63,1039.65,0,0.0
1689087600,1039.65,1056.67,1025.42,1036.21,0,0.0
1689174000,1036.21,1049.66,1021.9,1029.48,0,0.0
1689260403,1029.48,1045.24,1014.88,1034.16,0,0.0
1689346800,1034.16,1035.33,1012.61,1012.61,0,0.0
1689433201,1012.61,1034.51,1015.28,1024.12,0,0.0
1689519600,1024.12,1036.63,1015.05,1020.55,0,0.0
1689606004,1020.55,1032.01,1008.58,1022.37,0,0.0
1689692400,1022.37,1029.24,1008.28,1023.01,0,0.0
1689778800,1023.01,1026.36,1004.15,1010.85,0,0.0
1689865200,1010.85,1024.09,1003.06,1017.75,0,0.0
1689951600,1017.75,1021.28,1001.0,1001.0,0,0.0
1690038000,1001.0,1025.32,1004.78,1014.24,0,0.0
1690124401,1014.24,1025.94,1005.04,1020.02,0,0.0
1690210801,1020.02,1027.85,1007.46,1020.39,0,0.0
1690297200,1020.39,1026.17,1006.02,1024.57,0,0.0
1690383603,1024.57,1035.79,1006.28,1015.69,0,0.0
1690470000,1015.69,1036.68,1008.27,1029.47,0,0.0
1690556400,1029.47,1044.73,1011.32,1031.86,0,0.0
1690642800,1031.86,1046.82,1015.28,1033.33,0,0.0
1690729200,1033.33,1054.03,1029.68,1050.31,0,0.0
1690815601,1050.31,1059.24,1033.8,1040.33,0,0.0
1690902000,1040.33,1073.39,1041.47,1053.31,0,0.0
1690988400,1053.31,1081.24,1050.93,1051.79,0,0.0
1691074800,1051.79,1083.39,1051.03,1062.77,0,0.0
1691161200,1062.77,1083.62,1054.02,1067.0,0,0.0
1691247600,1067.0,1081.93,1050.4,1081.17,0,0.0
1691334007,1081.17,1084.4,1051.13,1078.47,0,0.0
1691420401,1078.47,1082.74,1051.7,1057.71,0,0.0
1691506800,1057.71,1081.13,1043.81,1075.77,0,0.0
1691593206,1075.77,1078.48,1044.73,1044.73,0,0.0
1691679601,1044.73,1075.75,1048.25,1065.7,0,0.0
1691766003,1065.7,1080.42,1049.72,1066.68,0,0.0
1691852402,1066.68,1085.71,1055.28,1084.21,0,0.0
1691938800,1084.21,1084.21,1058.0,1073.56,0,0.0
1692025210,1073.56,1084.78,1068.64,1075.15,0,0.0
1692111600,1075.15,1089.0,1063.31,1078.75,0,0.0
1692198000,1078.75,1091.59,1070.68,1080.54,0,0.0
1692284400,1080.54,1093.65,1072.29,1086.43,0,0.0
1692370800,1086.43,1097.94,1075.9,1093.99,0,0.0
1692457200,1093.99,1104.41,1080.77,1087.03,0,0.0
1692543601,1087.03,1105.71,1087.64,1105.04,0,0.0
1692630000,1105.04,1107.87,1090.09,1098.6,0,0.0
1692716400,1098.6,1120.4,1090.9,1115.54,0,0.0
1692802801,1115.54,1116.92,1083.47,1093.9,0,0.0
1692889200,1093.9,1113.13,1083.6,1103.62,0,0.0
1692975600,1103.62,1112.34,1089.54,1102.05,0,0.0
1693062000,1102.05,1106.77,1072.71,1103.68,0,0.0
1693148401,1103.68,1111.96,1086.26,1087.18,0,0.0
1693234800,1087.18,1114.96,1091.97,1110.23,0,0.0
1693321200,1110.23,1118.9,1089.36,1105.58,0,0.0
1693407600,1105.58,1122.16,1092.71,1117.38,0,0.0
1693494000,1117.38,1123.72,1095.51,1113.46,0,0.0
1693580401,1113.46,1121.38,1093.73,1117.87,0,0.0
1693666802,1117.87,1131.23,1102.49,1120.37,0,0.0
1693753200,1120.37,1139.99,1111.51,1118.77,0,0.0
1693839601,1118.77,1135.42,1104.22,1130.6,0,0.0
1693926001,1130.6,1135.67,1105.02,1116.26,0,0.0
1694012400,1116.26,1131.26,1104.49,1124.92,0,0.0
1694098801,1124.92,1134.35,1104.9,1105.86,0,0.0
1694185200,1105.86,1128.13,1102.51,1116.7,0,0.0
1694271600,1116.7,1129.26,1104.54,1121.75,0,0.0
1694358000,1121.75,1128.96,1098.28,1098.74,0,0.0
1694444400,1101.91,1132.23,1096.51,1126.06,0,0.0
1694530800,1126.06,1127.51,1094.1,1094.1,0,0.0
1694617201,1094.1,1125.2,1095.58,1115.47,0,0.0
1694703600,1115.47,1129.64,1095.0,1098.79,0,0.0
1694750400,1098.79,1128.92,1098.42,1099.51,0,0.0
1694876400,1099.51,1127.43,1100.44,1100.44,0,0.0
1694962803,1100.44,1129.4,1098.77,1126.83,0,0.0
1695049200,1126.83,1127.03,1097.16,1097.16,0,0.0
1695135600,1097.16,1127.64,1100.36,1119.14,0,0.0
1695222000,1119.14,1127.25,1101.66,1102.51,153,261962.75
1695308400,1102.51,1127.67,1099.84,1114.34,171,288495.51
1695394800,1114.34,1131.71,1100.69,1105.18,165,357410.65
1695481200,1105.18,1125.68,1100.91,1122.57,199,385403.86
1695567600,1122.57,1127.68,1100.74,1127.68,194,349984.33
1695654000,1127.68,1126.37,1095.97,1107.42,169,332826.66
1695740400,1107.42,1129.67,1103.35,1118.26,147,271373.32
1695826800,1118.26,1127.08,1103.88,1112.7,193,339481.26
1695913200,1112.7,1124.21,1089.04,1089.89,232,521202.12
1695999600,1089.89,1103.87,1069.17,1069.17,254,564552.27
1696086000,1069.17,1085.37,1021.43,1048.38,240,568462.6
1696172400,1048.38,1087.18,1049.63,1080.33,288,689675.11
1696258800,1080.33,1097.54,1074.03,1075.9,234,603819.29
1696345200,1075.9,1091.23,1069.78,1083.56,258,527851.79
1696431600,1083.56,1088.54,1066.87,1081.59,219,435712.02
1696518001,1081.59,1082.73,1058.65,1058.65,250,540268.4
1696604400,1058.65,1072.54,1052.15,1057.79,286,806707.07
1696690801,1057.79,1076.56,1056.47,1063.29,263,604222.67
1696777201,1063.29,1085.78,1063.6,1070.2,332,830005.03
1696863600,1070.2,1085.72,1061.28,1062.39,310,608818.55
1696950000,1062.39,1084.61,1060.66,1076.56,245,643950.01
1697036401,1076.56,1085.97,1064.68,1075.82,278,571446.76
1697122800,1075.82,1087.19,1064.29,1077.06,252,683760.8
1697209200,1077.06,1085.77,1064.78,1081.54,312,748784.87
1697295600,1081.54,1087.82,1065.69,1068.41,293,601088.01
1697382000,1068.41,1089.82,1064.94,1066.01,276,591613.72
1697468401,1066.01,1082.46,1055.79,1055.79,278,519480.87
1697554802,1055.79,1080.02,1046.72,1046.72,286,781937.86
1697641201,1046.72,1072.87,1044.64,1064.38,266,677516.98
1697727600,1064.38,1064.88,1035.69,1035.69,266,666621.3
1697814001,1035.69,1062.04,1024.77,1042.81,256,579945.67
1697900400,1042.81,1048.11,1019.3,1019.3,276,548796.52
1697986801,1019.3,1046.36,1019.7,1031.89,296,556161.4
1698073200,1031.89,1054.0,1021.78,1029.08,264,552017.91
1698159601,1029.08,1046.7,1006.61,1006.61,281,510339.5
1698246000,1006.61,1038.97,996.6,1023.52,296,567276.54
1698332401,1023.52,1019.58,955.36,955.36,264,575082.39
1698418800,955.36,974.04,931.9,950.35,254,585167.21
1698505200,950.35,961.54,925.8,931.36,271,641770.12
1698591600,931.36,969.17,929.93,963.01,259,469177.2
1698678000,963.01,980.86,944.54,963.45,256,724291.36
1698764400,963.45,992.67,962.9,979.57,247,573788.99
