feature,importance
close_pct_lag_1,0.09544238483067602
close_std_10,0.02164317387041592
vol_lag_5,0.01117619091337474
close_pct_lag_5,0.006750053872053741
vol_lag_1,0.004368005241872197
close_std_20,0.004133466330387137
close_mean_5,0.0019620959248243253
close_pct_lag_2,0.0018888193019108712
vol_lag_2,0.0016086372873189703
vol_lag_3,0.001529339738112867
close_mean_20,0.0013884208476042659
close_std_5,0.001344799531608487
vol_lag_4,0.0006345704385921636
close_pct_lag_3,0.00046754653843805727
close_pct_lag_4,0.00045428747122855384
close_mean_10,0.00027928098947427316
