feature,importance
close_pct_lag_1,0.015656993040749967
close_pct_lag_2,0.004134249201822371
close_std_5,0.0014024254589557472
close_std_20,0.00047983899875703173
close_pct_lag_4,0.00031143448341452995
close_pct_lag_3,0.00022770272641281508
close_mean_20,0.00012438405943981934
close_std_10,0.00011937316565990841
close_pct_lag_5,0.00011862798208284175
vol_lag_5,0.00011504758566971418
close_mean_5,0.00010906408674316026
vol_lag_3,9.330952518382674e-05
vol_lag_1,7.903950898224821e-05
vol_lag_2,3.64056868633611e-05
close_mean_10,2.5270936248489306e-05
vol_lag_4,1.8822328883061346e-05
